Date,recovered,deaths,confirmed
2020-01-22,0,0,0
2020-01-23,0,0,0
2020-01-24,0,0,0
2020-01-25,0,0,0
2020-01-26,0,0,0
2020-01-27,0,0,0
2020-01-28,0,0,0
2020-01-29,0,0,0
2020-01-30,0,0,0
2020-01-31,0,0,2
2020-02-01,0,0,2
2020-02-02,0,0,2
2020-02-03,0,0,2
2020-02-04,0,0,2
2020-02-05,0,0,2
2020-02-06,0,0,2
2020-02-07,0,0,2
2020-02-08,0,0,2
2020-02-09,0,0,2
2020-02-10,0,0,2
2020-02-11,0,0,2
2020-02-12,2,0,2
2020-02-13,2,0,2
2020-02-14,2,0,2
2020-02-15,2,0,2
2020-02-16,2,0,2
2020-02-17,2,0,2
2020-02-18,2,0,2
2020-02-19,2,0,2
2020-02-20,2,0,2
2020-02-21,2,0,2
2020-02-22,2,0,2
2020-02-23,2,0,2
2020-02-24,2,0,2
2020-02-25,2,0,2
2020-02-26,2,0,2
2020-02-27,2,0,2
2020-02-28,2,0,2
2020-02-29,2,0,2
2020-03-01,2,0,2
2020-03-02,2,0,3
2020-03-03,2,0,3
2020-03-04,2,0,3
2020-03-05,2,0,4
2020-03-06,2,0,13
2020-03-07,2,0,13
2020-03-08,3,0,17
2020-03-09,3,0,17
2020-03-10,3,0,20
2020-03-11,3,0,20
2020-03-12,3,0,28
2020-03-13,3,0,45
2020-03-14,8,0,59
2020-03-15,8,0,63
2020-03-16,8,0,90
2020-03-17,8,0,114
2020-03-18,8,0,147
2020-03-19,9,1,199
2020-03-20,9,1,253
2020-03-21,12,1,306
2020-03-22,16,1,367
2020-03-23,16,1,438
2020-03-24,22,1,495
2020-03-25,29,3,658
2020-03-26,38,3,840
2020-03-27,45,4,1036
2020-03-28,49,4,1264
2020-03-29,64,8,1534
2020-03-30,66,9,1836
2020-03-31,121,17,2337
2020-04-01,190,24,2777
2020-04-02,235,30,3548
2020-04-03,281,34,4149
2020-04-04,333,43,4731
2020-04-05,355,45,5389
2020-04-06,406,47,6343
2020-04-07,494,58,7497
2020-04-08,580,63,8672
2020-04-09,698,76,10131
2020-04-10,795,94,11917
2020-04-11,1045,106,13584
2020-04-12,1291,130,15770
2020-04-13,1470,148,18328
2020-04-14,1694,170,21102
2020-04-15,1986,198,24490
2020-04-16,2304,232,27938
2020-04-17,2590,273,32008
2020-04-18,3057,313,36793
2020-04-19,3291,361,42853
2020-04-20,3446,405,47121
2020-04-21,3873,456,52763
2020-04-22,4420,513,57999
2020-04-23,4891,555,62773
2020-04-24,5568,615,68622
2020-04-25,6250,681,74588
2020-04-26,6767,747,80949
2020-04-27,7346,794,87147
2020-04-28,8456,867,93558
2020-04-29,10286,972,99399
2020-04-30,11619,1073,106498
2020-05-01,13220,1169,114431
2020-05-02,15013,1222,124054
2020-05-03,16639,1280,134687
2020-05-04,18095,1356,145268
2020-05-05,19865,1451,155370
2020-05-06,21327,1537,165929
2020-05-07,23803,1625,177160
2020-05-08,26608,1723,187859
2020-05-09,31916,1827,198676
2020-05-10,34306,1915,209688
2020-05-11,39801,2009,221344
2020-05-12,43512,2116,232243
2020-05-13,48003,2212,242271
2020-05-14,53530,2305,252245
2020-05-15,58226,2418,262843
2020-05-16,63166,2537,272043
2020-05-17,67373,2631,281752
2020-05-18,70209,2722,290678
2020-05-19,76130,2837,299941
2020-05-20,85392,2972,308705
2020-05-21,92681,3099,317554
