date,python,C++,fortran,matlab
2017-07-02,56,53,3,14
2017-07-09,58,55,3,14
2017-07-16,60,56,3,13
2017-07-23,59,54,3,13
2017-07-30,59,56,3,12
2017-08-06,57,52,3,12
2017-08-13,55,52,2,12
2017-08-20,55,53,2,13
2017-08-27,59,57,2,14
2017-09-03,63,62,3,15
2017-09-10,67,68,3,16
2017-09-17,69,70,3,17
2017-09-24,69,71,3,18
2017-10-01,64,70,3,18
2017-10-08,71,74,3,20
2017-10-15,71,74,3,20
2017-10-22,70,76,3,20
2017-10-29,69,73,3,20
2017-11-05,76,79,3,21
2017-11-12,74,78,3,22
2017-11-19,69,70,3,20
2017-11-26,72,71,3,21
2017-12-03,76,75,3,20
2017-12-10,71,67,3,18
2017-12-17,64,59,2,15
2017-12-24,46,39,2,10
2017-12-31,52,44,2,10
2018-01-07,65,61,2,15
2018-01-14,67,61,3,16
2018-01-21,71,64,3,16
2018-01-28,75,67,3,18
2018-02-04,76,66,3,17
2018-02-11,71,64,3,17
2018-02-18,71,65,3,17
2018-02-25,73,65,3,18
2018-03-04,75,66,3,18
2018-03-11,73,69,3,18
2018-03-18,79,69,3,18
2018-03-25,75,63,3,16
2018-04-01,70,62,2,18
2018-04-08,76,65,3,18
2018-04-15,76,66,3,19
2018-04-22,75,63,3,18
2018-04-29,66,56,2,17
2018-05-06,74,58,3,17
2018-05-13,74,60,2,17
2018-05-20,72,58,3,17
2018-05-27,71,56,3,15
2018-06-03,74,59,2,15
2018-06-10,72,52,2,14
2018-06-17,69,50,2,13
2018-06-24,69,49,2,12
2018-07-01,65,48,2,11
2018-07-08,71,52,2,12
2018-07-15,70,51,2,12
2018-07-22,70,53,2,12
2018-07-29,71,54,2,11
2018-08-05,69,54,2,11
2018-08-12,66,48,2,10
2018-08-19,72,53,2,11
2018-08-26,72,57,2,13
2018-09-02,73,59,2,13
2018-09-09,75,64,2,14
2018-09-16,80,66,2,15
2018-09-23,81,66,2,16
2018-09-30,78,68,3,16
2018-10-07,81,69,3,16
2018-10-14,85,68,3,18
2018-10-21,81,69,2,18
2018-10-28,80,66,3,17
2018-11-04,78,62,3,17
2018-11-11,85,67,3,18
2018-11-18,77,64,2,16
2018-11-25,83,66,3,18
2018-12-02,84,67,3,18
2018-12-09,76,61,2,16
2018-12-16,71,52,2,13
2018-12-23,50,36,1,8
2018-12-30,53,36,1,8
2019-01-06,72,54,2,12
2019-01-13,74,54,3,13
2019-01-20,74,58,2,13
2019-01-27,78,58,2,14
2019-02-03,76,57,2,14
2019-02-10,78,58,2,14
2019-02-17,86,62,2,15
2019-02-24,80,60,2,15
2019-03-03,84,62,2,15
2019-03-10,85,60,2,15
2019-03-17,82,59,2,15
2019-03-24,83,61,2,15
2019-03-31,85,61,2,16
2019-04-07,85,59,3,16
2019-04-14,82,55,2,15
2019-04-21,80,55,2,15
2019-04-28,70,49,2,14
2019-05-05,81,54,2,14
2019-05-12,83,55,2,15
2019-05-19,85,54,2,15
2019-05-26,80,52,2,13
2019-06-02,82,51,2,12
2019-06-09,85,51,2,13
2019-06-16,87,51,2,12
2019-06-23,86,51,2,13
2019-06-30,79,48,2,11
2019-07-07,87,52,2,12
2019-07-14,85,51,2,11
2019-07-21,82,46,2,10
2019-07-28,82,48,2,10
2019-08-04,80,48,2,9
2019-08-11,79,46,2,9
2019-08-18,83,54,2,10
2019-08-25,81,56,2,11
2019-09-01,87,59,2,11
2019-09-08,93,63,2,14
2019-09-15,95,66,2,13
2019-09-22,97,66,2,14
2019-09-29,92,64,2,15
2019-10-06,97,66,2,16
2019-10-13,95,70,3,16
2019-10-20,92,64,2,15
2019-10-27,84,60,2,14
2019-11-03,96,67,2,15
2019-11-10,93,65,2,15
2019-11-17,96,68,2,15
