"Дата","Регион","Заражений","Выздоровлений","Смертей","Смертей за день","Заражений за день","Выздоровлений за день"
20.09.2020,Томская обл.,6775,5554,79,1,62,92
26.09.2020,Костромская обл.,4553,3329,67,5,54,44
02.09.2021,Ямало-Ненецкий АО,47772,45810,625,4,102,121
15.12.2020,Сахалинская обл.,13406,10292,11,0,142,366
21.09.2020,Волгоградская обл.,14158,12376,131,0,95,13
13.04.2021,Кабардино-Балкария,23287,22323,431,0,32,43
29.11.2020,Тыва,12311,11383,138,0,97,83
11.03.2021,Хабаровский край,49543,46972,306,2,57,68
08.12.2020,Самарская обл.,24491,22229,463,8,278,293
28.02.2021,Тамбовская обл.,26273,24072,343,2,119,86
14.05.2020,Ульяновская обл.,1012,222,5,0,80,40
01.05.2020,Ленинградская обл.,929,126,3,2,44,11
14.01.2021,Челябинская обл.,38859,25649,625,11,292,371
14.10.2020,Ненецкий АО,361,136,0,0,5,0
27.07.2020,Омская обл.,6298,3972,62,0,114,3
29.11.2020,Хакасия,11883,8260,135,8,182,217
30.03.2020,Курганская обл.,1,0,0,0,0,0
14.07.2021,Севастополь,18282,15932,786,3,121,135
14.07.2020,Курская обл.,5701,3882,48,2,35,51
19.08.2021,Псковская обл.,45711,38887,637,6,104,292
07.01.2021,Кировская обл.,27258,20900,237,0,229,243
04.12.2020,Ивановская обл.,16466,11977,267,5,160,126
14.10.2020,Мордовия,7142,5913,45,1,66,48
18.07.2020,Иркутская обл.,11262,6136,120,5,188,224
03.07.2020,Саратовская обл.,6746,3680,45,1,101,111
13.07.2021,Чукотский АО,928,765,8,0,14,0
22.09.2020,Северная Осетия,5541,4640,68,0,33,31
01.12.2020,Калужская обл.,16133,14328,109,0,145,325
15.09.2021,Вологодская обл.,65120,58580,1748,7,227,241
08.09.2020,Камчатский край,3967,3196,42,0,12,1
09.05.2021,Алтайский край,50272,45217,2119,6,63,48
08.05.2020,Тульская обл.,1620,263,11,1,90,45
07.10.2021,Брянская обл.,67260,61999,1528,13,275,145
12.02.2021,Амурская обл.,20330,18731,148,0,42,59
08.04.2021,Приморский край,42757,39933,692,2,49,116
03.06.2020,Белгородская обл.,2548,1082,22,2,77,83
09.08.2021,Татарстан,24387,21555,633,0,50,5
21.11.2020,Ярославская обл.,14774,14241,73,0,184,321
13.05.2020,Карелия,176,43,1,1,5,3
10.04.2021,Орловская обл.,33039,30445,517,1,57,77
30.08.2020,Тыва,6796,6135,65,5,26,0
23.11.2021,Тульская обл.,66204,57932,3818,12,259,250
04.06.2021,Смоленская обл.,31352,29554,1032,5,73,74
